COUNTRY_NAME,MAX_ICU_PER_MILLION
Czechia,180.675
Argentina,175.103
Chile,173.742
Slovenia,136.331
Latvia,128.603
Belgium,126.459
Bulgaria,117.813
Slovakia,112.165
France,103.505
Spain,102.905
Romania,96.748
Portugal,88.016
United States,85.403
Austria,79.310
Luxembourg,77.208
Germany,69.102
Italy,68.905
England,66.065
Cyprus,63.616
Switzerland,61.095
United Kingdom,60.392
Lithuania,58.544
Sweden,53.084
Estonia,52.788
Wales,51.735
Serbia,51.371
Malta,50.629
Malaysia,46.938
South Africa,44.980
Israel,44.449
Netherlands,43.783
Scotland,40.432
Canada,34.144
Northern Ireland,33.228
Denmark,26.010
South Korea,25.378
Japan,24.477
Bolivia,19.224
Ireland,18.315
Australia,16.197
Finland,14.980
Algeria,1.492
